Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
54,VAFB,Telstar 18V,"7,060 kg",GTO,Telesat,Success,F9 B4B1045.2,Success,22 May 2018,04:45
55,CCAFS,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,F9 B5,Success,4 June 2018,09:42
56,CCAFS,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,F9 B5B1048,Success,29 June 2018,05:50
57,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5B1046.2,Failure,22 July 2018,11:39
58,KSC,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",F9 B5,No attempt,25 July 2018,05:18
59,VAFB,GPS III,"4,400 kg",MEO,USAF,Success,F9 B5B1048.2,Success,7 August 2018,04:45
60,CCAFS,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5B1047.2,Success,10 September 2018,02:22
61,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",F9 B5B1046.3,Success,8 October 2018,20:46
62,VAFB,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5,Success,15 November 2018,18:34:05
63,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",F9 B5,Success,3 December 2018,18:16
64,KSC,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.2,Success,5 December 2018,13:51
65,CCAFS,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1048.3,Success,23 December 2018,15:31
66,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",F9 B5[268],No attempt,11 January 2019,01:45
67,VAFB,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",F9 B5,Success,22 February 2019,07:49
68,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.3,Success,2 March 2019,06:48
69,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5B1051.2,Success,4 May 2019,02:30
70,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1056.2,Success,24 May 2019,14:17
71,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1047.3,"No attempt
",12 June 2019,22:01
72,CCAFS,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,Success,25 July 2019,23:23
73,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,6 August 2019,14:56
74,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1056.3,Success,11 November 2019,17:29
75,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",F9 B5,Failure,5 December 2019,00:10
76,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,17 December 2019,02:19:21
77,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 January 2020,15:30
78,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",F9 B5,Success,19 January 2020,14:07
79,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,29 January 2020,15:05
80,KSC,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,17 February 2020,04:50
81,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,Success,7 March 2020,12:16
82,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5,Success,18 March 2020,19:30
83,CCAFS,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:22
84,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 May 2020,01:25
85,KSC,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",F9 B5,Success,4 June 2020,09:21
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.2,Success,13 June 2020,20:10:46
87,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 June 2020,21:30
88,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.6,Success,20 July 2020,05:12
89,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 August 2020,14:31
90,KSC,GPS III,"4,311 kg",MEO,USSF,"Success
",F9 B5B1060.2,Success,18 August 2020,23:18
91,CCAFS,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5B1058.3,Success,30 August 2020,12:46:14
92,CCAFS,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5B1051.6,Success,3 September 2020,11:29:34
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,6 October 2020,12:25:57
94,VAFB,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5,Success,18 October 2020,15:31:34
95,CCAFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,24 October 2020,23:24:23
96,KSC,NROL-108,C,LEO,NRO,"Success
",F9 B5,Success,5 November 2020,00:27
97,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",F9 B5 ♺,Success,16 November 2020,17:17:08
98,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,0,21 November 2020,02:13
99,CCSFS,Transporter-1,"~5,000 kg",SSO,0,0,F9 B5 ♺,0,25 November 2020,16:17:08
100,KSC,0,0,0,0,0,F9 B5 ♺,0,6 December 2020,17:30:00
101,CCSFS,0,0,0,0,0,F9 B5,0,13 December 2020,14:00:00
102,0,0,0,0,0,0,F9 B5B1051.8,0,19 December 2020,02:15
103,0,0,0,0,0,0,F9 B5B1058.5,0,8 January 2021,13:02
104,0,0,0,0,0,0,0,0,20 January 2021,15:00
105,0,0,0,0,0,0,0,0,24 January 2021,0
106,0,0,0,0,0,0,0,0,0,0
